url_length,domain_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_slashes,num_at_symbols,num_ampersands,num_equals_signs,num_question_marks,num_special_chars,num_digits,digit_ratio,has_https,has_ip_address,num_subdomains,domain_entropy,has_suspicious_keyword,num_suspicious_keywords,has_suspicious_tld,has_phishing_extension,path_depth,has_port,url_entropy,token_count,longest_token_length,has_double_slash_redirect,has_hex_encoding,label
36,23,5,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,3.7081320646586016,0,0,0,0,1,0,3.926733681937771,5,16,0,0,1
47,15,24,0,3,0,2,3,0,0,0,0,0,9,0.19148936170212766,1,0,1,3.323231428797621,0,0,0,0,1,0,4.402695968966624,8,7,0,0,0
62,17,37,0,2,4,0,3,0,0,0,0,0,0,0.0,1,0,1,3.3371753411230767,0,0,0,0,1,0,4.247898730680087,9,10,0,0,0
126,21,1,95,2,16,0,3,0,1,1,1,0,7,0.05555555555555555,1,0,1,3.6537567082870015,0,0,0,0,0,0,4.8575452704680995,21,13,0,0,0
56,16,32,0,2,1,0,5,0,0,0,0,0,0,0.0,1,0,1,3.202819531114783,1,2,0,0,3,0,4.211210672320923,8,16,0,0,1
79,19,52,0,1,1,0,4,0,0,0,0,0,8,0.10126582278481013,1,0,0,3.826874881864638,0,0,0,0,2,0,5.262455906322794,6,46,0,0,1
86,26,52,0,2,0,0,4,0,0,0,0,0,5,0.05813953488372093,1,0,1,3.6612262562697895,0,0,0,0,2,0,5.183312975753481,6,46,0,0,1
29,20,1,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,3.684183719779189,0,0,0,0,0,0,3.9952378913808864,4,12,0,0,0
18,11,0,0,1,0,0,2,0,0,0,0,0,0,0.0,0,0,0,3.4594316186372973,0,0,0,0,0,0,3.7254805569978675,3,7,0,0,1
72,17,47,0,2,4,0,4,0,0,0,0,0,3,0.041666666666666664,1,0,1,3.3371753411230767,0,0,0,0,2,0,4.431932947139989,10,13,0,0,0
34,25,1,0,2,1,0,3,0,0,0,0,0,6,0.17647058823529413,1,0,1,4.053660689688186,0,0,0,0,0,0,4.314972767530033,5,10,0,0,1
35,19,8,0,2,1,0,3,0,0,0,0,0,0,0.0,1,0,1,3.221097250057957,0,0,0,0,1,0,3.8173931037765767,6,7,0,0,1
39,30,1,0,2,2,0,3,0,0,0,0,0,6,0.15384615384615385,1,0,1,4.056564762130955,0,0,0,0,0,0,4.282340283509332,6,10,0,0,1
70,31,31,0,3,0,0,4,0,0,0,0,0,0,0.0,1,0,1,3.58228260029072,0,0,0,0,2,0,4.130082113845809,7,15,0,0,1
34,25,1,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,3.733660689688186,0,0,0,0,0,0,4.101881223476018,4,14,0,0,1
46,24,14,0,3,0,0,4,0,0,0,0,0,0,0.0,1,0,2,3.6053885422075336,0,0,0,0,2,0,4.075101293381128,7,10,0,0,0
85,76,1,0,3,1,0,3,0,0,0,0,0,9,0.10588235294117647,1,0,2,4.734852270552914,0,0,0,0,0,0,4.831589360391176,6,59,0,0,1
146,16,122,0,3,17,0,4,0,0,0,0,0,10,0.0684931506849315,1,0,1,2.85845859334435,0,0,0,0,2,0,4.526667981008954,24,9,0,0,0
53,25,20,0,2,0,1,4,0,0,0,0,0,0,0.0,1,0,1,3.733660689688186,0,0,0,0,2,0,4.2678435114451965,7,17,0,0,0
57,17,32,0,2,0,0,7,0,0,0,0,0,5,0.08771929824561403,1,0,1,3.2639334294856335,0,0,0,0,4,0,4.108667646840287,8,9,0,0,0
29,20,1,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,3.308694969562842,0,0,0,0,0,0,3.7623107361338706,4,12,0,0,0
68,24,36,0,2,2,0,5,0,0,0,0,0,0,0.0,1,0,1,3.7720552088742005,0,0,0,0,3,0,4.361606276010762,9,16,0,0,0
124,49,26,41,5,2,0,5,0,3,4,1,0,7,0.056451612903225805,0,0,3,4.080806589855409,1,1,0,1,3,0,4.8747006151031975,19,15,0,0,1
44,15,21,0,2,1,0,4,0,0,0,0,0,0,0.0,1,0,1,3.106890595608519,0,0,0,0,2,0,4.016614721924478,7,9,0,0,0
66,16,42,0,2,2,0,5,0,0,0,0,0,12,0.18181818181818182,1,0,1,3.1556390622295662,1,1,0,0,3,0,4.733735127479394,9,12,0,0,0
96,23,65,0,3,0,0,4,0,0,0,0,0,5,0.052083333333333336,1,0,2,3.795088586397732,0,0,0,0,2,0,4.834824287509231,7,59,0,0,1
30,21,1,0,3,1,0,3,0,0,0,0,0,0,0.0,1,0,2,3.7489948035250964,0,0,0,0,0,0,4.0980685120588385,6,10,0,0,1
42,24,10,0,3,0,0,3,0,0,0,0,0,0,0.0,1,0,1,3.8035088547976783,0,0,0,0,1,0,4.064969661782226,6,16,0,0,0
28,19,1,0,2,1,0,3,0,0,0,0,0,0,0.0,1,0,1,3.5766176449086657,0,0,1,0,0,0,3.753434386188785,5,7,0,0,1
